Turn right ahead 2021-03-16 16:29:17.245881 
Priority road 2021-03-16 16:30:07.705432 
Slippery road 2021-03-16 16:30:21.558364 
Slippery road 2021-03-16 16:30:27.350251 
Slippery road 2021-03-16 16:30:27.917909 
Slippery road 2021-03-16 16:30:28.286188 
Slippery road 2021-03-16 16:30:28.558214 
Slippery road 2021-03-16 16:30:29.020843 
Slippery road 2021-03-16 16:30:29.245609 
Slippery road 2021-03-16 16:30:29.493087 
Veh > 3.5 tons prohibited 2021-03-16 16:30:49.419959 
No passing 2021-03-16 16:30:56.598016 
No passing veh over 3.5 tons 2021-03-16 16:31:23.302312 
No passing veh over 3.5 tons 2021-03-16 16:31:25.630432 
No passing veh over 3.5 tons 2021-03-16 16:31:25.821834 
No passing veh over 3.5 tons 2021-03-16 16:31:26.046318 
No passing veh over 3.5 tons 2021-03-16 16:31:26.246515 
No passing veh over 3.5 tons 2021-03-16 16:31:26.510219 
Speed limit (30km/h) 2021-03-16 16:48:32.709050 
Speed limit (100km/h) 2021-03-16 17:03:32.893173 
Slippery road 2021-03-16 17:04:45.374586 
Turn right ahead 2021-03-16 17:07:36.106016 
Road work 2021-03-16 17:09:00.790395 
Road work 2021-03-16 17:40:01.870470 
Dangerous curve right 2021-03-17 09:44:59.202786 
Road work 2021-03-17 10:01:42.058251 
Road work 2021-03-20 19:34:17.389954 
Speed limit (100km/h) 2021-03-20 19:35:25.853655 
General caution 2021-03-20 19:42:04.306582 
Priority road 2021-03-20 20:46:27.596157 
Priority road 2021-03-20 20:46:30.978302 
Priority road 2021-03-20 20:46:31.946297 
Priority road 2021-03-20 20:46:32.498443 
Slippery road 2021-03-20 21:01:30.249185 
Road work 2021-03-20 21:30:42.131764 
Keep right 2021-03-20 21:32:57.447578 
Yield 2021-03-20 21:34:02.765748 
No passing 2021-03-20 21:34:12.099026 
General caution 2021-03-20 21:34:20.002781 
No passing veh over 3.5 tons 2021-03-20 21:34:34.818840 
Speed limit (60km/h) 2021-03-20 21:34:47.984214 
Go straight or right 2021-03-20 21:35:12.474111 
Yield 2021-03-20 21:38:00.856905 
No entry 2021-03-20 21:51:23.834347 
Children crossing 2021-03-20 21:51:58.739820 
Speed limit (30km/h) 2021-03-20 23:14:20.331118 
No passing 2021-03-20 23:18:56.879772 
No passing 2021-03-20 23:20:03.181720 
Children crossing 2021-03-21 18:27:08.825405 
Ahead only 2021-04-06 20:04:55.158537 
Ahead only 2021-04-06 20:09:59.400077 
No passing 2021-04-06 20:11:21.524818 
Speed limit (30km/h) 2021-04-06 20:11:49.632819 
Speed limit (60km/h) 2021-04-07 08:48:09.226994 
